South Eastern University -Main	r.seku.n.kenet.or.ke
South Eastern University -Wote	r.seku-wote.n.kenet.or.ke
Sr. Leonella Consolata Medical College	r.consolata-mc.m.kenet.or.ke
St Paul Miluki Secondary School	r.st-pauls-miluki.e.kenet.or.ke
St. Joseph Technical Training Institute for the Deaf Nyangoma	r.st-joseph-tti.k.kenet.or.ke
St. Paul University - Nairobi CBD	r.spu-tc.n.kenet.or.ke
St. Paul's University - Limuru - Main	r.spu-main.n.kenet.or.ke
St. Paul's University - Nakuru	r.spu-nakuru.a.kenet.or.ke
Strathmore University	r.strath.n.kenet.or.ke
Taita Taveta Univeristy Ngerenyi	r.taita-ngerenyi.s.kenet.or.ke
Taita Taveta University	r.taita.s.kenet.or.ke
Tangaza University College	r.tangaza.n.kenet.or.ke
Technical And Vocational Education and Training Authority (TVETA)	r.tveta.n.kenet.or.ke
Technical And Vocational Education and Training Authority (TVETA) -Elodret	r.tveta-eldoret.e.kenet.or.ke
Technical And Vocational Education and Training Authority (TVETA) -Kisumu	r.tveta-kisumu.k.kenet.or.ke
Technical And Vocational Education and Training Authority (TVETA) -Mombasa	r.tveta-msa.s.kenet.or.ke
Technical University of Kenya	r.tuk-main.n.kenet.or.ke
Technical University of Mombasa-Kwale	r.tum-kwale.s.kenet.or.ke
Technical University of Mombasa-Lamu	r.tum-lamu.s.kenet.or.ke
Tenwek Hospital	r.tenwek-main.a.kenet.or.ke
Tenwek Kabason	r.tenwek-kaboson.a.kenet.or.ke
Tenwek Ngito	r.tenwek-ngito.a.kenet.or.ke
Tharaka University	r.tharaka.m.kenet.or.ke
The Co-operative University - Karen	r.coop-karen.n.kenet.or.ke
The Co-operative University - Nairobi	r.coop-nrb.n.kenet.or.ke
The East African University (TEAU)	r.teau.n.kenet.or.ke
The World Agroforestry Centre (ICRAF)	r.icraf.n.kenet.or.ke
Thika TTI Main	r.thika-tti-main.n.kenet.or.ke
Thogoto Teachers Training college	r.thogoto-ttc.n.kenet.or.ke
Tourism Regulatory Authority-Eldoret	r.tra-eld.e.kenet.or.ke
Tourism Regulatory Authority-HQ	r.tra-hq.n.kenet.or.ke
Tourism Regulatory Authority-Kisumu	r.tra-ksm.k.kenet.or.ke
Tourism Regulatory Authority-Malindi	r.tra-malindi.s.kenet.or.ke
Tourism Regulatory Authority-Mombasa	r.tra-msa.s.kenet.or.ke
